x1,x2,r
57754,38113,53712
43296,13082,58392
15475,1197,5507
31877,28141,42214
12603,22829,23117
53477,48589,38676
18798,43075,21636
14574,12735,42821
45578,35991,25778
31057,25684,27790
59311,12228,39829
50081,9237,11170
11274,50541,16664
35627,32038,21371
43296,6172,44314
45592,36484,46056
55628,48442,24748
50939,21263,56642
2758,26890,32423
53199,50614,28413
28969,58580,2496
30374,27235,57105
49561,40367,7645
18858,22296,57238
25733,20827,9819
52593,32944,10478
1498,14075,13004
28896,25351,5098
7487,46682,18797
47034,21628,43831
3105,23269,40933
23384,29343,9741
46557,276,43948
3610,44630,42741
18435,25656,11648
41928,15807,33194
14371,22293,3126
53318,28735,15067
34369,54819,25778
59679,16980,38204
58551,37066,23991
33946,20984,16563
45862,46740,2925
34439,17134,38531
57208,16414,21286
39205,14002,54555
28870,56624,37201
4543,29446,12234
34276,43713,49654
45489,7234,41107
6684,35131,56469
9566,35012,18805
43541,5595,49575
49906,23746,54692
14736,18157,51029
11898,50389,54104
14134,41181,6574
28675,40633,48438
43479,1141,50739
11362,58723,59174
7028,10839,47923
14398,52163,49080
50496,44286,41089
7016,695,7906
54187,36427,46759
17069,37303,32314
36105,40797,15883
58969,8185,30654
25142,57473,2413
16138,59389,11840
59536,9925,19563
25469,13871,55426
44680,42239,15450
31652,58487,9663
8824,4653,5331
25774,2571,19355
41798,37527,41142
38513,35963,1560
21768,55349,16603
32651,12871,10327
8228,24695,10099
27362,53839,8045
11892,19015,48043
43097,52631,37168
47800,25900,35582
16007,1360,37033
4481,59962,9569
32741,42526,28222
1855,40019,36657
96,26375,21216
47135,57121,1248
58242,45986,34783
5633,16881,22787
8005,36912,44478
55386,37314,27984
31473,59073,16098
47930,25447,56631
33688,33171,26976
2265,41339,57106
22879,17695,7893
54136,24944,31957
17654,42103,32621
35999,48556,10696
26025,56227,14975
838,57273,50507
16334,44527,9988
30006,34722,17168
8108,56525,57965
53263,17316,33524
38834,50981,43977
24066,27791,31754
43526,15677,14013
24675,6823,35635
38355,42110,37514
19022,5616,37726
5409,16015,7396
22271,58483,31542
40083,24161,41019
34411,3472,53501
7301,30095,45317
3064,16834,21213
56924,46228,49192
24336,14080,34860
26226,9974,48196
12874,49003,10337
4064,46741,31994
30772,11590,12482
28081,12783,51136
23294,34132,59824
59598,23406,5238
27182,7284,35435
55022,54348,19800
49359,46470,9774
49481,45162,40436
22359,29125,39487
25174,44486,27436
55041,44323,58046
50710,16905,44211
17756,48624,24618
30232,11983,7599
15452,39006,11032
20221,23311,25288
22819,10504,51663
51424,6205,31964
12189,43139,29923
22445,9542,3365
32683,30168,5643
44240,14183,5422
27620,7030,41292
37758,7529,47160
11887,24575,35418
34940,46927,15453
50418,27190,3906
94,4706,17869
3007,31629,17336
6954,16028,53803
30466,1408,235
59388,41062,20831
39727,11765,22589
25499,14229,10014
48960,34954,28401
58660,19295,2907
45498,6194,34042
14965,52048,35013
41243,3677,41140
44123,22178,11510
56477,31256,1333
46461,23648,49966
33860,56068,55887
4735,8546,22386
46242,37185,43497
29245,48024,58066
55855,23407,47874
26844,28222,37627
51491,16816,898
57305,59368,30240
50025,55616,47240
5738,37616,23951
25196,36020,38750
10652,50091,47769
21689,45332,37602
36483,5244,11092
30488,55203,11256
37498,360,14162
59974,51793,534
2583,57401,50373
59723,50826,4826
24909,9208,55553
18182,3635,35111
49575,30959,18374
9489,15606,37660
21599,35785,38739
53975,2866,443
17678,11743,14026
31769,30265,48869
42316,48597,34142
3674,20336,47509
23974,57306,47646
54279,59151,19683
1887,239,33483
9336,14544,1762
51478,38944,18622
34903,55866,18529
54618,32588,55541
56433,36358,23491
16870,18414,2958
32566,36003,30791
40274,26340,53415
1883,11265,45413
13177,45180,29498
54936,39476,53981
46369,38803,6699
18279,6549,29165
26990,27487,47060
52648,1773,26257
36120,6943,20732
27424,40186,23195
17875,17236,30476
41010,8956,56288
19446,1535,18929
10880,11151,980
23885,7083,35431
51888,10539,44443
7866,21399,28556
35044,49510,34284
41750,15972,29754
27118,27091,12289
24407,49691,552
5098,6552,53431
12796,18445,44545
23938,47746,2048
46186,6122,59794
35696,3951,8776
16992,46132,12014
24995,49473,40789
51420,34253,52677
24090,39734,4516
5733,56266,8811
45827,52911,9417
50568,1802,42716
26953,32754,31110
50415,36938,13555
1354,53402,9826
31146,5219,21622
34412,53582,32086
38877,11836,42508
31096,23889,49338
53660,20892,27136
18651,18164,38344
39735,6989,18650
2462,30317,35096
36077,43545,38498
40798,20778,24130
49841,2103,12221
28890,24321,22096
57955,50888,9395
28249,43422,2615
22400,50617,15355
7832,20726,18896
56099,53225,9893
5316,39243,48561
46688,34741,50681
50547,43663,15585
14761,42014,34920
11461,55521,905
47991,26774,31450
46101,6302,21430
49795,44606,32060
7176,57929,28427
34549,12161,17297
4487,21748,24148
2447,2286,52456
15506,28305,20706
39450,3526,24991
38500,43107,15080
41851,19508,50131
44525,41273,20916
54450,11469,14085
17221,57467,10776
34611,11223,47966
9575,54846,999
40582,32779,54371
6636,5449,58322
27255,32941,4589
17238,56683,8456
36739,11432,41334
57463,23734,51348
42386,20864,20906
7180,21136,37953
6904,1948,41237
54977,47953,28634
27219,24160,9601
25030,34795,984
24512,22712,11294
43240,44085,30458
47899,52193,57629
23338,11778,43040
5655,55374,21703
19305,54244,19264
14867,8946,28127
52610,54633,2978
27766,56437,28369
14347,17624,57571
12254,17287,50278
26355,33477,42053
8282,4210,9993
27056,20670,27415
44087,8733,31684
8588,3076,16758
58729,28449,21852
36738,49366,32488
21328,49549,4707
33252,34906,47407
28052,20432,46822
53334,11533,50218
20079,6330,47518
40004,696,10837
13547,13174,6864
3046,49402,26390
49074,30507,29259
2850,4820,34848
5016,53306,47192
14080,49496,59052
31212,39970,57472
19923,13080,57535
53995,16414,39394
37550,35402,57193
36469,8310,2931
50442,9895,21218
35996,28820,18628
10582,8174,33101
11704,20462,31547
45793,37097,43352
59127,52300,34260
16953,36023,38632
15721,55173,24784
9563,17231,37145
20107,9352,36854
24263,35559,56439
51631,46318,21235
7494,57932,49185
51722,47230,35030
55070,7715,24228
4377,38082,26180
56803,38999,7398
57249,40357,22829
11742,1953,6228
5428,3197,27200
57769,24825,51549
11810,55913,13176
58653,32387,54797
46177,18729,57526
1998,26588,28010
13361,4808,27346
14187,49532,40362
15396,30004,16999
7579,20653,38829
12458,20648,55815
56668,17717,54679
18732,10426,26328
36312,32557,48385
53350,5909,45807
27868,10679,37510
636,54628,45960
33246,49352,8179
30379,2105,17403
43474,8355,14767
4223,54434,16228
55284,15591,38677
4665,44731,407
42816,9755,6845
48221,20261,24491
39878,56534,3586
26174,25579,12290
9314,32132,59287
5450,12744,9625
33488,55218,11208
9327,52010,9638
35180,20158,12660
15861,48716,58672
54645,7813,53741
46512,5946,26116
16065,48671,55709
59043,54954,58423
57870,28623,18475
38154,22026,33784
52118,43002,48676
25650,25255,53865
11458,1764,13581
54922,17547,43702
20307,17053,49420
20941,20761,50011
51763,53405,25188
14662,38468,36660
29892,43717,1041
14809,46399,45384
33529,18605,22130
31626,27305,46701
18403,27160,46184
21177,43092,19602
46878,11132,35336
34325,10647,22755
47069,53124,17619
16534,2584,33284
24520,14486,24151
54687,14178,12864
56494,29583,9549
17358,51276,55796
36031,5092,49760
48625,10908,4965
34700,14955,6962
46648,52652,20837
16484,21346,22935
38543,39326,17263
27395,13309,12355
30830,36870,158
34166,40667,13820
56989,52555,22310
28118,12,25070
39092,48012,29853
6019,54625,4874
59582,4682,42979
47394,33623,14058
11065,11963,12331
4274,25862,50917
34080,16287,18742
37753,45000,51171
20196,48887,50459
36575,33076,14623
41461,14010,22385
31536,19627,9615
36652,50013,20580
52294,27287,58052
15945,4352,13328
44870,41244,57396
11582,20751,4980
9126,37142,41853
51708,32658,41232
35423,4701,35106
173,23756,27141
4540,14196,24578
41701,35438,48869
31884,29,16906
39286,31191,53135
12132,22441,48572
39254,36143,49734
9278,14397,55515
8973,46152,41554
43973,58385,29070
41670,10443,50916
3008,21872,53303
57677,8702,41852
40349,7078,32810
40234,9541,6220
2040,42829,1686
53844,28758,57437
53604,31236,46154
6697,12237,11867
950,59983,55055
36442,22978,10823
8716,14646,53032
3579,24663,57467
42263,16763,8049
57479,6870,57502
33509,57046,49623
29532,5855,3816
48327,30868,18937
50105,50910,7905
1663,11515,29108
2726,22770,43410
27658,33733,55488
26177,30437,36268
53717,28752,41713
58057,26036,48793
37793,59048,53984
26050,25621,47970
42741,16298,41780
24985,41890,12835
12346,53668,24734
18643,5460,34454
2763,5892,25528
43571,42730,16392
33677,31007,27142
57466,52669,10507
3876,59901,40925
1899,15146,15995
22298,15198,21329
52398,38861,46278
57873,47575,18579
22097,24554,39139
28989,35356,10616
42724,27477,57971
17378,45099,33993
16220,5770,1209
8609,57677,45936
49828,50985,40040
51330,19693,47786
58182,24535,35651
18680,45317,42250
9223,6905,43230
36039,22451,23646
49929,40180,11801
23303,38371,35748
23516,57415,58426
24695,35,37229
51787,11861,56005
31447,35454,32038
20010,21129,30186
37714,52610,17562
30371,10361,245
35018,29327,22582
56979,47002,31142
34613,23250,16092
44497,39987,4759
3036,5602,38940
32522,21666,46313
14375,30894,8452
43687,7544,1429
20624,15425,12594
19326,5067,32332
22395,10978,41783
1833,18749,55908
20861,26020,57250
19205,58450,17664
37782,33523,42509
9802,37388,56384
2622,19929,58
2865,53501,33896
3496,19196,40529
44733,59806,28314
17596,4421,54830
29334,30085,35928
17506,700,20652
28119,52827,43466
13982,58545,46453
24652,55896,45661
19208,1311,9139
5183,52343,51276
40356,13279,5554
51659,15302,43755
59140,55181,24875
52923,38924,33844
34476,5111,36275
18032,45204,59668
36924,9997,47112
47968,8102,4706
41445,6834,47457
5055,26131,33047
41245,57606,51443
20836,49841,17321
27302,51041,56005
42515,16231,51974
9417,4604,18154
29527,53457,57189
27121,20270,16888
51965,22467,51723
23775,3231,53613
14424,22616,7823
26944,8075,357
28424,20611,19310
29245,52831,34182
55282,27000,2135
28075,3773,22888
10970,11843,37392
44265,7906,1928
9003,28956,43661
25045,48969,35608
19836,18639,13910
12041,23815,444
46292,10064,53526
53497,8904,54691
54428,22651,40189
15409,30031,58813
35845,53743,24873
54861,35982,19091
25994,43642,12783
40308,44302,51780
9046,37855,43073
47382,18985,9811
43944,34483,59207
45970,49267,52089
16758,54521,26489
11880,46687,15094
27552,28594,6010
4185,25001,10633
55482,8392,26052
51135,49770,7878
58031,23241,30591
4855,54588,45982
32953,9172,55537
27653,54675,38212
29405,21443,5299
44151,32203,29941
29491,27100,7568
48477,57468,34138
30971,59849,45327
46601,17275,58801
43986,28587,9034
51481,32518,56632
49270,49974,12807
26439,34976,36193
21777,1738,17134
30809,13693,6136
48979,12916,2588
25136,37236,15973
53025,15890,53244
50756,30910,35455
49265,37795,55355
38439,57825,56958
11043,25421,20980
37866,2801,34385
11499,4871,9244
26275,59302,36927
5781,39650,23244
42495,56129,39208
56158,37929,14390
51542,55317,52222
4576,45752,47557
54253,17389,58799
44361,6352,9201
43881,11840,43701
54262,19867,56013
19301,9588,49975
17489,21942,15492
56010,42397,42025
49829,50976,27904
30108,35184,45900
21600,38159,59312
7493,31655,52867
17242,57363,20177
48734,1617,11183
54467,45539,37057
6245,13439,22202
2564,10409,35449
44931,43120,59222
30886,30680,53310
5983,171,11684
44309,50787,29651
56755,32403,25152
27599,12677,4572
3575,34692,59872
35036,54311,19802
40803,26443,11939
15396,44740,23673
1366,30735,34741
34214,55737,33045
7994,29520,10491
10855,41706,33083
55991,55017,16070
38775,7017,30448
21603,8158,41185
36715,48492,18964
40729,44059,8930
10867,19353,8961
12559,20066,31733
24208,29643,47015
5894,41370,5015
50843,16154,4454
4982,20884,19513
52505,11230,52477
43191,48447,29283
40907,55905,47406
33374,50939,9155
57314,22536,31600
18367,31673,32886
42607,10488,15718
7025,37309,4027
3337,44110,53350
6690,31358,29376
3043,34091,49525
938,41501,19346
47750,27443,55270
24555,28209,56610
13555,3344,14268
29463,28825,52203
26614,47916,49502
30227,50488,29433
37808,40395,42583
17489,55746,15383
35378,51705,46825
48094,28517,8947
35859,34561,21802
8232,37533,12028
25191,44745,32052
54136,28978,29332
7325,20946,57162
36032,24547,41159
10855,8737,43142
42086,34483,46800
22983,38722,45383
52407,49089,52612
31570,42273,11393
22598,40669,14864
29041,5268,12638
13967,51679,53030
16335,45692,34572
32120,25152,3958
54018,24968,47786
35985,8386,57913
5963,24624,6241
23168,59659,43648
38294,22540,17708
48257,45688,39249
13787,55063,10221
58746,54616,25841
36229,51372,25287
40610,47360,52689
48938,10766,56373
30677,53227,45880
13103,8059,53566
41120,19672,20547
45246,26864,49806
56370,15436,7485
10936,54393,2030
50738,5996,55007
40900,42475,45959
17504,11039,15371
53912,12652,7135
22306,58488,9622
24527,3361,27033
20256,19642,54610
51251,32144,30596
2594,1837,19604
19201,19680,57963
26538,28304,58007
27686,39119,38237
10445,42941,54354
7816,47001,40632
20087,31458,6086
43680,4585,43948
55003,30175,55105
10959,42899,18053
15753,24586,13448
1355,30116,49966
15406,14787,6597
9562,52021,916
16684,14739,35619
39859,25439,41589
41264,17746,43866
55021,23227,24014
51213,52660,40347
5129,17219,22949
38868,22526,9665
18807,53058,4227
22307,25659,19405
55084,25026,11137
42944,908,48498
15087,5635,34133
59036,44600,14469
14020,15064,24182
41205,43653,36164
17309,40880,32214
38204,16689,53209
39049,450,53572
44186,30851,23281
3514,48306,53265
48144,43164,54074
25394,16498,39064
24388,27065,4025
7711,19003,59360
36016,58580,39197
13616,39916,50502
4709,46680,21783
599,37063,42538
49297,14298,861
21688,30049,18590
19429,46608,19033
25646,6399,51849
48005,38460,51686
13407,53917,23185
19935,7638,40422
26039,56819,2462
44044,16327,47530
12821,52117,38695
45417,35742,32058
33347,5135,57454
96,19435,6
39391,25391,18748
13724,14647,16378
23012,49562,47400
30706,24354,4899
52794,7681,47696
53486,19489,2268
4924,14636,31912
37569,5014,10722
30585,10312,9585
4010,32432,19787
38919,5340,19443
50771,38610,50547
34457,11047,58557
7262,23336,53956
54288,24699,23894
15830,9834,6419
53889,50439,42658
38485,9622,15568
8671,8397,53942
36283,54299,45499
43653,38714,52222
1033,35547,19090
22878,49173,11904
6334,49812,52309
25889,38047,28830
54398,33250,45094
19210,56956,17801
52125,43521,3250
363,12423,37870
54475,38461,22877
25690,1085,41694
2380,143,7434
7294,45986,3835
34278,8671,50829
39099,49900,4075
33200,50817,33333
57001,39634,41879
11401,31099,9825
1689,49228,39699
11053,24844,32529
34460,11305,4707
38978,43779,25163
21594,58053,49330
22760,3781,10159
11247,50486,29810
37259,20371,53151
32845,24200,44451
53357,34593,31920
47253,30236,11331
48538,38132,17747
44864,58711,202
8604,36500,14467
37695,40695,10151
7072,21135,42839
30477,33537,16444
10280,58757,37312
33369,53738,40554
48068,57352,38537
42691,7222,43257
42767,7023,24252
59815,56375,57006
57071,37280,18682
52324,21441,31824
15645,9840,14671
6322,38766,7839
52464,51052,45681
50865,29400,52822
43659,2995,38968
10613,1583,22752
15466,49281,17588
18684,34083,30406
54622,20302,22031
21615,45656,36767
54633,5980,22399
53637,10731,9463
19550,49956,29925
49486,52773,22519
34734,41279,46426
21086,703,6330
37570,50955,21943
15133,21233,10746
32119,25547,21628
58953,12767,55058
23144,28818,55556
28352,18246,10549
13791,58856,5412
26259,34830,13551
38758,19833,25104
34333,43398,25177
12891,56721,57048
31631,23876,36140
26076,59236,16243
15785,42122,32089
44847,22559,38546
33822,13771,57841
2552,8037,45497
8084,52763,19954
25391,25198,26777
28494,49114,25164
37274,2380,49033
29799,38571,30568
30368,37602,12516
25358,53788,26705
51406,48699,40462
41975,47757,2619
12484,50058,28785
38927,54743,55072
21913,21525,2543
40500,4230,4531
26943,19634,43978
7879,52516,11249
33390,23296,14577
2679,58966,6117
19556,36724,33690
9084,15063,3148
26873,35882,40849
58420,46859,57885
21709,42818,51710
54979,50698,58874
11588,1827,27155
50864,37085,16982
20274,58640,36926
19417,24153,28745
24320,27838,19282
23499,18563,53580
52534,40538,46635
38229,39484,34256
25503,23097,59195
40521,33834,34125
14495,27366,15924
32090,49121,26500
30535,34818,14975
48513,27539,27344
46708,48103,10279
41499,58707,57321
26287,29946,53695
6740,51483,32053
55615,2086,54397
55083,15578,27384
43719,10396,45587
14793,13956,13433
49419,17532,35054
668,40219,48039
55292,34809,2289
40302,11196,26738
37150,29986,2818
9043,55183,15813
337,24016,38486
39895,32655,12280
12454,43595,19954
56763,21241,46239
23097,37094,1765
49675,27486,53799
38282,26498,49378
48041,46462,40215
45235,52384,32691
42500,54514,43377
40031,44169,17077
42838,23448,25376
29677,8678,53678
52209,14232,30140
12694,20343,32336
9783,18590,7151
50622,25316,47204
37023,32647,11287
13243,14870,36411
57528,32194,25351
740,9183,34105
14885,24024,39152
4571,31832,48787
31309,54561,47682
18927,40930,49417
26341,52564,56720
32618,47330,18878
25480,8857,19428
35411,4263,19870
57129,16500,33966
3381,59934,20159
48392,28874,46366
59993,14233,45348
58563,41536,27465
48361,16350,42853
56419,27065,1616
40644,34767,10474
41743,36706,50210
52186,44010,55979
51682,2463,36838
16277,2200,51951
15934,54599,14610
13733,14255,12230
35264,34084,58705
42058,832,41358
34065,12491,32778
57380,25683,41673
19536,43449,43955
42083,41519,34445
58986,10837,25866
23604,34834,32473
46579,32373,48666
6065,10523,46301
48645,9795,5357
16460,39114,36055
14622,41480,16452
36039,45121,2760
3995,22309,31321
325,35677,37014
2337,6722,12869
32905,55865,34749
21709,6607,26207
521,14052,57067
55809,35339,57085
36460,21786,24047
38994,18680,21329
29039,2124,8193
43132,57189,19764
13748,11959,40565
43995,37489,14457
16019,2812,32219
23272,15559,4055
49170,16062,15570
12635,22608,36893
48980,53067,12876
34436,12098,24275
29897,32386,59839
59911,8274,13852
4288,57651,23344
38725,10019,335
55408,40046,24490
42103,38245,5442
44951,16467,21660
8622,41064,21430
22727,23466,59116
10503,3722,6215
23812,45566,45069
34716,47794,45501
5924,30901,33232
36783,35091,55186
45560,39055,50394
17429,5799,23258
32698,1931,14037
30562,28752,18985
3983,56764,1064
7379,920,44474
30407,9663,28387
49875,11809,19297
44296,32284,12929
13942,34790,25901
23707,6285,57568
35215,48989,9317
29185,14656,39773
21378,37092,3918
53524,10119,53257
46035,19382,5423
53683,48720,29919
7707,12291,41160
4907,32527,23338
22081,28466,26486
52404,49119,44312
47542,39079,36238
6016,15519,49946
20101,39403,58946
57862,54652,26028
8133,32236,39955
24063,14770,54141
21200,25777,38670
27036,15813,23743
44134,45785,30761
49931,17022,1515
2579,4213,21538
29482,34188,26693
5828,55180,11063
46110,46787,43176
56925,49690,31068
53100,50322,12904
603,11382,44609
47563,52820,3907
16668,14573,1253
22703,14131,12876
14992,35448,24255
1431,49701,22191
17547,52190,10204
38409,17408,59058
35403,24147,21067
36559,14028,47824
50686,58538,14650
54962,43515,10846
30042,54823,51258
57210,34058,57472
27564,24486,44637
21101,8641,44091
34772,18850,13507
13855,25336,8904
58151,50306,2044
10978,14644,56242
25188,33328,33958
28821,51737,21177
11580,30019,34683
41873,2710,45139
27271,30755,19857
29487,57432,47021
17135,38468,43147
752,45405,28845
28728,41004,37037
56194,3128,10447
23842,8860,32755
28248,2642,19792
30288,53457,28554
46091,53033,15662
39072,12819,23263
50301,34660,4762
6422,50468,50661
39933,18483,54276
26696,59384,24771
41689,35324,58490
33714,22721,58102
11730,22452,18124
8130,19486,14768
9899,9507,32179
5059,56074,22583
16384,44163,58918
1315,42307,36478
15863,31294,500
9729,8981,53074
3229,30408,22157
7930,17223,31801
6303,13394,58314
23917,16314,10264
24770,7260,31326
23169,39741,34804
39274,23434,14332
52499,45599,50961
7023,45743,9270
7966,1066,56473
14328,18147,5074
4501,17742,9887
48113,6479,29720
12040,56669,50274
48926,33380,20691
21914,47080,23456
21953,54488,48870
16276,58318,34145
39701,53332,37532
25852,48677,20080
38907,39120,55174
7184,3637,42356
17014,30752,13278
53133,17299,8702
57830,23199,9419
16122,12548,3491
7122,35105,46779
35319,14896,49736
24296,35000,7379
38777,20624,3028
32804,41300,24161
22456,12745,10932
38563,4053,56835
7966,2832,40255
1868,9316,29371
57817,18405,31048
59668,44575,47460
25211,15139,32660
50929,14437,44307
27259,33668,44947
15009,23809,27899
20594,32652,52536
28223,34020,49701
39549,16279,3431
6621,3913,35394
16938,56004,42923
54419,11817,52548
44868,58863,10660
1807,58226,48111
53704,29968,48699
37701,50943,56648
2618,36942,15328
7684,32547,27995
15407,17712,37989
52119,57807,35736
30048,37212,8954
37539,21240,1473
7508,33541,39949
35853,14877,31227
38352,58423,25123
37337,33985,49623
7791,29852,35781
17612,49707,16650
32615,15841,41488
45886,1998,23235
5956,26237,46795
2167,2553,32578
33613,29456,15395
19279,52603,30273
38093,58711,11518
48632,45771,28908
33710,3679,39978
30397,41740,11501
36283,17584,9433
38887,6927,15117
54297,29620,37620
35173,10877,39826
17752,47336,47108
35564,40438,18194
43343,49603,30051
16243,15519,35696
25034,57622,53902
45317,28224,54921
12964,6622,27455
45505,40356,57630
35111,29827,2931
7219,29884,26279
27036,6940,55488
13564,15904,26216
25490,54830,58861
39759,13052,56403
6632,51543,29566
15325,23557,31630
32812,38725,31863
2749,43608,48362
11016,1260,2321
27666,54530,12542
50017,1698,8429
19867,25822,9227
24957,33943,54335
44380,56642,17966
46735,7700,8611
38313,23981,41752
37469,30699,8823
40845,24391,8563
34093,7054,26048
690,44654,39880
23611,51153,18235
48889,41937,12646
28372,10525,27502
21362,51777,6347
272,53020,55541
22430,31618,46057
59717,15405,25724
44033,40013,58451
49525,39443,44151
1923,25301,2279
20153,47954,16545
11606,29416,993
51856,30131,53466
3458,7750,8128
44852,33599,21911
46781,45809,19123
42734,524,2344
49056,20966,3955
9427,49324,58845
21441,14019,47626
55980,37399,21582
42992,57833,5434
56662,15461,39619
36992,57673,4606
19367,12975,16440
7091,52893,40737
17245,45735,48060
12412,6013,41556
29393,49059,47471
9138,52788,38138
1225,25979,41355
1641,51066,25677
12857,58460,41188
6997,32698,18495
12069,39957,42043
32314,13078,18533
394,58314,49101
4762,8990,50933
21274,1037,31432
53842,29250,49626
27736,38533,36825
47843,4217,2491
22615,43502,8455
28348,34948,27762
12126,23806,7647
39934,16716,21936
14963,42217,39658
16426,51200,29613
42632,46121,24150
23677,38103,40524
28862,16760,21429
3542,21128,18003
39418,913,27128
22089,53960,45521
58810,31141,42353
40454,21763,15249
42296,51697,52048
59891,36430,2636
37297,13849,12835
39371,20968,4969
47891,16901,17782
15908,56663,6556
56738,45360,15314
13844,17623,18678
17209,44055,34000
17767,20514,56839
33458,12978,6647
36707,32107,46549
53821,45446,24965
43088,45024,58945
28007,29150,22063
27821,58170,24321
38181,34926,23204
20652,24820,58738
12311,31289,37994
59537,31627,17566
49394,9778,16297
27777,42329,14352
19595,44842,52903
42685,42340,54485
15301,4351,34392
46641,24188,20294
1165,7257,33372
49095,30228,28437
7887,555,15425
8174,29982,44219
55693,37782,15237
16811,51039,33411
31321,35911,34182
58766,9464,50329
4180,51624,30874
3294,51718,28568
29366,28015,59932
50143,56821,5789
40909,27617,25237
10153,50132,57972
47151,22766,58141
37071,30633,17966
53115,31083,20898
40585,6282,412
30398,41164,19523
10557,15300,778
27240,26006,10338
15302,1080,39492
21422,2653,51863
18659,22925,36612
53996,47465,2939
56461,56742,17508
24546,40082,55820
30535,55034,34482
7206,13945,5466
9084,4364,55666
46642,44127,55911
231,14501,30468
39308,13420,29031
24391,31144,38473
55968,41985,2133
2488,50010,54900
32965,40893,46073
41021,56361,46851
35435,24167,35707
34232,56667,11698
23468,4906,29906
